Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Maan Marjada,1991,137,5.0,0,8,2
Hera Pheri,2000,156,8.2,58037,156,5
Raagangal Maruvathillai,1983,120,7.2,5,0,16
Putra Badhu,1998,120,5.0,0,8,2
Naik Parveen,1975,120,5.0,0,0,19
Gollu Aur Pappu,2014,112,3.7,101,5,5
 Alif Laila,1997,120,5.0,0,210,19
Shivani,2019,120,5.0,0,6,5
Heer Maan Ja,2019,146,5.2,187,159,13
Nayakudu Vinayakudu,1980,120,6.0,6,0,17
Love You to Death,2012,102,5.3,7,524,5
Awara Badal,1964,134,5.9,14,128,3
Gharer Bou,1990,121,5.0,0,8,2
Chief Sahib,1996,120,5.0,37,1519,19
Revelations,2016,118,7.3,135,8,16
Murder,1994,101,5.0,0,6816,6
Ivide Ingane,1984,101,5.0,0,18,9
Porter Ponnusami,1979,120,5.0,0,0,16
Amar Premi Sheni Vijanand,1974,120,5.0,0,8,4
Tum Hi To Ho...,2011,120,3.9,10,81624,5
Bilhana,1948,120,5.0,0,0,16
Maharathi,2008,114,7.1,967,6816,5
Adyathe Maravi,2019,14,5.0,0,2124,9
Hum Ek Hain,1961,120,5.0,0,8,19
Puzha,1980,120,5.0,0,0,9
Common Opinion,2016,10,5.0,0,721,19
Paandav,1995,132,4.1,533,18,5
Khaidi,1987,120,5.0,0,0,17
Savitri,1937,136,5.0,0,10,5
Raam,2009,149,6.6,136,58,6
Police Lock Up,1992,120,5.0,0,1,5
The Dirty Picture,2011,145,6.6,8815,458,16
Kurbani,1943,120,6.6,5,0,5
Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,120,5.0,0,7,11
Lawaris: Karachi's Unknown Dead,2019,120,5.0,0,721,19
Rakhewal,2019,130,5.0,0,8,4
Kanasu Maratakkide,2021,132,5.0,0,8,6
Pati Patni Aur Tawaif,1990,120,4.3,40,89,5
777 Charlie,0,136,5.0,0,258,16
Dholo Mara Malak No,1998,120,5.0,0,8,4
Pambaram,1979,120,5.0,0,0,9
Raj Shahenshah,0,122,5.0,0,8,3
Love You Dhaka,0,120,5.0,0,8,2
The Last Color,2019,90,7.7,740,8,5
Aji Bas Shukriya,1958,120,6.2,10,5815,5
Avatar Purusha,0,120,5.0,0,5,6
Delhi Durbar,1956,120,5.0,0,0,5
Bhartruhari,1932,120,5.0,0,10,5
Teer,1954,120,5.0,0,8,5
Eppothum Vendran,2014,138,5.0,0,8,16
Rubik's Cube,0,134,5.0,0,8,10
Prem Paigham,1989,120,5.0,0,19,5
Smuggler,1996,120,4.4,17,16,5
Sheikh Chilli,1958,120,5.0,0,5,13
Sasi Lalitha,2020,120,5.0,0,8,17
Om Shri Satya Sai Baba,2021,120,5.0,0,4,5
Khooni Insaan,1988,120,4.0,7,24,5
Ilamai Kaalangal,1983,120,5.7,9,0,16
Lalu Bhulu,1959,120,7.0,6,8,2
Rakkhushi,2006,134,6.5,10,8,2
Geet Ganga,1982,138,5.0,0,8,5
Bachke Rahna,1949,120,5.0,0,15,5
Viswasam Athalle Ellam,2015,159,4.9,30,58,9
Stop!,2004,120,4.5,31,519,5
Post Man,1967,120,5.0,0,0,9
Sannyasi Deshonayok,2020,120,5.0,0,8,2
Local Utpaat,2020,120,5.0,0,15,1
Niraparadhi,1951,182,5.0,0,0,16
Avaghachi Sansar,1960,120,5.0,0,5,10
Vicar Ka Achar Open Your Mind Before Your Mouth,2018,90,5.0,0,0,5
Neerja,2016,122,7.7,21192,4824,5
